Instance(354): 	 3.665833 4.552429 0.980726 
Instance(355): 	 3.741638 4.200867 1.000000 
Instance(356): 	 3.520813 4.338196 0.994413 
Instance(357): 	 3.468079 4.390930 0.987294 
Instance(358): 	 3.471375 3.788879 0.725509 
Instance(359): 	 4.009705 4.456848 0.990737 
Instance(360): 	 3.943787 4.422791 0.997864 
Instance(361): 	 3.649353 4.325012 0.999795 
Instance(362): 	 3.766907 4.133850 1.000000 
Instance(363): 	 3.726257 4.292053 0.999991 
Instance(364): 	 4.084412 4.350281 0.999993 
Instance(365): 	 4.103088 4.441467 0.991435 
Instance(366): 	 3.781189 4.407410 0.998976 
Instance(367): 	 3.802063 4.311829 0.999989 
Instance(368): 	 3.904236 4.529358 0.967912 
Instance(369): 	 3.913025 4.188782 1.000000 
Instance(370): 	 3.561462 4.364563 0.997552 
Instance(371): 	 3.776794 4.215149 1.000000 
Instance(372): 	 3.718567 4.963318 0.617694 
Instance(373): 	 3.702087 4.238220 0.999993 
Instance(374): 	 3.570251 4.769958 0.885568 
Instance(375): 	 3.581238 4.232727 0.998539 
Instance(376): 	 3.725159 4.240417 0.999998 
Instance(377): 	 3.896545 4.496399 0.983940 
Instance(378): 	 3.895447 4.355774 0.999917 
Instance(379): 	 3.963562 4.575500 0.910940 
Instance(380): 	 3.249451 4.197571 0.794673 
Instance(381): 	 3.368103 4.089905 0.870507 
Instance(382): 	 3.842712 4.145935 1.000000 
Instance(383): 	 3.662537 4.272278 0.999926 
Instance(384): 	 3.696594 4.384338 0.999493 
Instance(385): 	 3.999817 4.430481 0.996645 
Instance(386): 	 3.638367 4.405212 0.998824 
Instance(387): 	 3.980042 4.207458 1.000000 
Instance(388): 	 3.428528 4.697449 0.942669 
Instance(389): 	 3.783386 4.274475 0.999999 
Instance(390): 	 3.809753 4.653503 0.896223 
Instance(391): 	 3.698792 4.298645 0.999975 
Instance(392): 	 3.992126 4.381042 0.999736 
Instance(393): 	 3.715271 4.305237 0.999979 
Instance(394): 	 3.795471 4.522766 0.981771 
Instance(395): 	 3.536194 4.801819 0.873227 
Instance(396): 	 3.731750 4.450256 0.996690 
Instance(397): 	 3.572449 4.570007 0.979883 
Instance(398): 	 3.559265 4.138245 0.996672 
Instance(399): 	 3.753723 4.236023 1.000000 
Instance(400): 	 3.663635 4.574402 0.974162 
Instance(401): 	 3.937195 4.542542 0.952610 
Instance(402): 	 3.755920 4.398621 0.999240 
Instance(403): 	 3.412048 4.058044 0.906636 
Instance(404): 	 3.920715 4.485413 0.986189 
Instance(405): 	 3.362610 4.431580 0.958915 
Instance(406): 	 3.599915 4.308533 0.999168 
Instance(407): 	 3.822937 4.884216 0.608827 
Instance(408): 	 3.490051 4.031677 0.969659 
Instance(409): 	 3.962463 4.415100 0.998397 
Instance(410): 	 3.792175 4.917175 0.600417 
Instance(411): 	 3.319763 4.642517 0.942855 
Instance(412): 	 3.928406 4.464539 0.991749 
Instance(413): 	 3.886658 4.222839 1.000000 
Instance(414): 	 3.842712 4.350281 0.999920 
Instance(415): 	 3.985535 4.776550 0.560156 
Instance(416): 	 3.965759 4.329407 0.999994 
Instance(417): 	 3.491150 4.129456 0.981277 
Instance(418): 	 3.999817 4.496399 0.973310 
Instance(419): 	 3.783386 4.311829 0.999987 
Instance(420): 	 3.822937 4.434875 0.997429 
Instance(421): 	 3.905334 4.304138 0.999999 
Instance(422): 	 3.609802 4.329407 0.999331 
Instance(423): 	 3.486755 4.348083 0.989830 
Instance(424): 	 3.449402 4.386536 0.983361 
Instance(425): 	 3.649353 4.382141 0.999367 
Instance(426): 	 3.752625 4.411804 0.998834 
Instance(427): 	 4.069031 4.522766 0.926338 
Instance(428): 	 3.960266 4.353577 0.999953 
Instance(429): 	 3.849304 4.567810 0.953795 
Instance(430): 	 3.514221 4.299744 0.993174 
Instance(431): 	 3.637268 4.192078 0.999830 
Instance(432): 	 3.443909 3.942688 0.881277 
Instance(433): 	 3.651550 4.396423 0.999122 
Instance(434): 	 3.788879 4.356873 0.999862 
Instance(435): 	 3.759216 4.421692 0.998415 
Instance(436): 	 3.609802 4.215149 0.999443 
Instance(437): 	 3.541687 4.507385 0.990220 
Instance(438): 	 3.761414 4.451355 0.996402 
Instance(439): 	 3.938293 4.337097 0.999984 
Instance(440): 	 3.498840 4.240417 0.989169 
Instance(441): 	 3.687805 4.392029 0.999340 
Instance(442): 	 3.927307 4.352478 0.999944 
Instance(443): 	 3.755920 4.298645 0.999992 
Instance(444): 	 3.632874 4.417297 0.998420 
Instance(445): 	 3.614197 4.390930 0.998853 
Instance(446): 	 3.730652 4.262390 0.999998 
Instance(447): 	 3.443909 4.087708 0.948090 
Instance(448): 	 3.887756 4.429382 0.997563 
Instance(449): 	 3.837219 4.225037 1.000000 
Instance(450): 	 3.724060 4.394226 0.999334 
Instance(451): 	 3.864685 4.306335 0.999997 
Instance(452): 	 3.758118 4.511780 0.986826 
Instance(453): 	 3.837219 4.570007 0.954737 
Instance(454): 	 3.628479 4.645813 0.948217 
Instance(455): 	 3.803162 4.396423 0.999303 
Instance(456): 	 4.041565 4.321716 1.000000 
Instance(457): 	 3.496643 4.040466 0.974858 
Instance(458): 	 3.450500 4.507385 0.982297 
Instance(459): 	 4.008606 4.327209 0.999998 
Instance(460): 	 3.889954 4.528259 0.970542 
Instance(461): 	 3.793274 4.462341 0.994906 
Instance(462): 	 3.814148 4.529358 0.978078 
Instance(463): 	 3.331848 4.512878 0.952316 
Instance(464): 	 4.033875 4.342590 0.999993 
Instance(465): 	 3.583435 4.641418 0.955874 
Instance(466): 	 3.867981 4.822693 0.641180 
Instance(467): 	 3.853699 4.834778 0.640190 
Instance(468): 	 3.726257 4.148132 1.000000 
Instance(469): 	 3.319763 4.440369 0.941078 
Instance(470): 	 3.655945 4.428284 0.998137 
Instance(471): 	 3.519714 4.752380 0.908867 
Instance(472): 	 3.655945 4.526062 0.987365 
Instance(473): 	 3.800964 4.484314 0.991311 
Instance(474): 	 3.920715 4.338196 0.999979 
Instance(475): 	 3.709778 4.753479 0.845802 
Instance(476): 	 3.996521 4.444763 0.994251 
Instance(477): 	 3.743835 4.351379 0.999874 
Instance(478): 	 3.376892 4.797424 0.902717 
Instance(479): 	 3.499939 4.484314 0.989627 
Instance(480): 	 3.572449 4.384338 0.997858 
Instance(481): 	 3.840515 4.800720 0.699213 
Instance(482): 	 3.848206 4.298645 0.999998 
Instance(483): 	 4.020691 4.164612 1.000000 
Instance(484): 	 4.005310 4.330505 0.999997 
Instance(485): 	 3.797668 4.428284 0.997977 
Instance(486): 	 3.921814 4.672180 0.807021 
Instance(487): 	 3.717468 4.170105 0.999999 
Instance(488): 	 3.316467 4.171204 0.856068 
Instance(489): 	 3.849304 4.327209 0.999981 
Instance(490): 	 3.691101 4.657898 0.929554 
Instance(491): 	 3.766907 4.061340 1.000000 
Instance(492): 	 4.032776 4.407410 0.998789 
Instance(493): 	 3.508728 4.088806 0.984773 
Instance(494): 	 3.688904 4.409607 0.998902 
Instance(495): 	 3.759216 4.577698 0.963001 
Instance(496): 	 3.793274 4.383240 0.999577 
Instance(497): 	 3.775696 4.136047 1.000000 
Instance(498): 	 3.693298 4.031677 1.000000 
Instance(499): 	 3.765808 4.527161 0.982266 
Instance(500): 	 3.860291 4.266785 1.000000 
Instance(501): 	 3.732849 4.372253 0.999696 
Instance(502): 	 3.753723 4.267883 0.999999 
